date,product,category,sales,quantity,region,customer_rating
2024-01-01,Laptop,Electronics,1299.99,5,North,4.5
2024-01-02,Phone,Electronics,899.99,12,South,4.2
2024-01-03,Headphones,Electronics,149.99,25,East,4.8
2024-01-04,Desk,Furniture,349.99,8,West,4.1
2024-01-05,Chair,Furniture,199.99,15,North,3.9
2024-01-06,Monitor,Electronics,449.99,10,South,4.6
2024-01-07,Keyboard,Electronics,79.99,30,East,4.4
2024-01-08,Bookshelf,Furniture,129.99,6,West,4.0
2024-01-09,Tablet,Electronics,599.99,8,North,4.3
2024-01-10,Lamp,Furniture,59.99,20,South,3.8
2024-01-11,Speaker,Electronics,199.99,18,East,4.7
2024-01-12,Sofa,Furniture,899.99,3,West,4.2
2024-01-13,Watch,Electronics,299.99,22,North,4.5
2024-01-14,Table,Furniture,249.99,7,South,4.0
2024-01-15,Camera,Electronics,749.99,5,East,4.6
2024-01-16,Bed,Furniture,599.99,4,West,4.3
2024-01-17,Mouse,Electronics,49.99,45,North,4.1
2024-01-18,Drawer,Furniture,179.99,9,South,3.7
2024-01-19,Console,Electronics,499.99,6,East,4.8
2024-01-20,Mirror,Furniture,89.99,14,West,4.0
2024-01-21,Laptop,Electronics,1199.99,7,North,4.4
2024-01-22,Phone,Electronics,799.99,15,South,4.3
2024-01-23,Headphones,Electronics,129.99,28,East,4.7
2024-01-24,Desk,Furniture,299.99,10,West,4.2
2024-01-25,Chair,Furniture,179.99,18,North,4.0
